estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A89+IF(H90=H89,I90-I89,I90)/86400000","=IF(H90=H89,I90-I89,I90)",,,current,88,True,3906736965,26623189,True,True,True,True,True,1011,0.0,0.0,30.77,61.47,30.2,13.9,0,0,
"=A90+IF(H91=H90,I91-I90,I91)/86400000","=IF(H91=H90,I91-I90,I91)",,,current,89,True,3906736965,26924139,True,True,True,True,True,1011,0.0,0.0,30.68,61.53,30.2,13.9,0,0,
"=A91+IF(H92=H91,I92-I91,I92)/86400000","=IF(H92=H91,I92-I91,I92)",,,current,90,True,3906736965,27225090,True,True,True,True,True,1011,0.0,0.0,30.71,61.6,30.1,13.9,0,0,
"=A92+IF(H93=H92,I93-I92,I93)/86400000","=IF(H93=H92,I93-I92,I93)",,,current,91,True,3906736965,27526043,True,True,True,True,True,1011,0.0,0.0,30.97,61.73,30.1,13.9,0,0,
"=A93+IF(H94=H93,I94-I93,I94)/86400000","=IF(H94=H93,I94-I93,I94)",,,current,92,True,3906736965,27827000,True,True,True,True,True,1011,0.0,0.0,31.03,61.84,30.1,13.9,0,0,
"=A94+IF(H95=H94,I95-I94,I95)/86400000","=IF(H95=H94,I95-I94,I95)",,,current,93,True,3906736965,28127958,True,True,True,True,True,1011,0.0,0.0,31.09,61.92,30.1,13.9,0,0,
"=A95+IF(H96=H95,I96-I95,I96)/86400000","=IF(H96=H95,I96-I95,I96)",,,current,94,True,3906736965,28428918,True,True,True,True,True,1011,0.0,0.0,31.07,62.03,30.1,13.9,0,0,
"=A96+IF(H97=H96,I97-I96,I97)/86400000","=IF(H97=H96,I97-I96,I97)",,,current,95,True,3906736965,28729878,True,True,True,True,True,1011,0.0,0.0,31.03,62.0,30.1,14.0,0,0,
"=A97+IF(H98=H97,I98-I97,I98)/86400000","=IF(H98=H97,I98-I97,I98)",,,current,96,True,3906736965,29030841,True,True,True,True,True,1011,0.01,0.264,31.05,62.02,30.1,14.0,0,0,
"=A98+IF(H99=H98,I99-I98,I99)/86400000","=IF(H99=H98,I99-I98,I99)",,,current,97,True,3906736965,29331807,True,True,True,True,True,1011,0.0,0.0,31.05,62.11,30.1,13.9,0,0,
"=A99+IF(H100=H99,I100-I99,I100)/86400000","=IF(H100=H99,I100-I99,I100)",,,current,98,True,3906736965,29632775,True,True,True,True,True,1010,0.0,0.0,31.2,62.2,30.0,13.9,0,0,
"=A100+IF(H101=H100,I101-I100,I101)/86400000","=IF(H101=H100,I101-I100,I101)",,,current,99,True,3906736965,29933745,True,True,True,True,True,1011,0.0,0.0,31.32,62.31,30.0,13.9,0,0,
"=A101+IF(H102=H101,I102-I101,I102)/86400000","=IF(H102=H101,I102-I101,I102)",,,current,100,True,3906736965,30234717,True,True,True,True,True,1011,0.0,0.0,31.41,62.42,30.0,13.9,0,0,
"=A102+IF(H103=H102,I103-I102,I103)/86400000","=IF(H103=H102,I103-I102,I103)",,,current,101,True,3906736965,30535692,True,True,True,True,True,1011,0.0,0.0,31.53,62.5,30.0,13.9,0,0,
"=A103+IF(H104=H103,I104-I103,I104)/86400000","=IF(H104=H103,I104-I103,I104)",,,current,102,True,3906736965,30836701,True,True,True,True,True,1011,0.0,0.0,31.47,62.54,30.0,13.9,0,0,
"=A104+IF(H105=H104,I105-I104,I105)/86400000","=IF(H105=H104,I105-I104,I105)",,,current,103,True,3906736965,31137648,True,True,True,True,True,1010,0.0,0.0,31.32,62.53,30.0,13.9,0,0,
"=A105+IF(H106=H105,I106-I105,I106)/86400000","=IF(H106=H105,I106-I105,I106)",,,current,104,True,3906736965,31438599,True,True,True,True,True,1011,0.0,0.0,31.29,62.55,30.0,13.9,0,0,
"=A106+IF(H107=H106,I107-I106,I107)/86400000","=IF(H107=H106,I107-I106,I107)",,,current,105,True,3906736965,31739550,True,True,True,True,True,1011,0.0,0.0,31.33,62.66,30.0,13.9,0,0,
"=A107+IF(H108=H107,I108-I107,I108)/86400000","=IF(H108=H107,I108-I107,I108)",,,current,106,True,3906736965,32040504,True,True,True,True,True,1011,0.0,0.0,31.21,62.66,30.0,13.9,0,0,
"=A108+IF(H109=H108,I109-I108,I109)/86400000","=IF(H109=H108,I109-I108,I109)",,,current,107,True,3906736965,32341461,True,True,True,True,True,1010,0.0,0.0,31.09,62.64,30.0,13.9,0,0,
"=A109+IF(H110=H109,I110-I109,I110)/86400000","=IF(H110=H109,I110-I109,I110)",,,current,108,True,3906736965,32659111,True,True,True,True,True,1011,0.0,0.0,31.03,62.67,30.0,13.9,0,0,
"=A110+IF(H111=H110,I111-I110,I111)/86400000","=IF(H111=H110,I111-I110,I111)",,,current,109,True,3906736965,32960073,True,True,True,True,True,1011,0.0,0.0,31.13,62.75,30.0,13.9,0,0,
"=A111+IF(H112=H111,I112-I111,I112)/86400000","=IF(H112=H111,I112-I111,I112)",,,current,110,True,3906736965,33261037,True,True,True,True,True,1011,0.0,0.0,31.23,62.83,30.0,13.9,0,0,
"=A112+IF(H113=H112,I113-I112,I113)/86400000","=IF(H113=H112,I113-I112,I113)",,,current,111,True,3906736965,33562001,True,True,True,True,True,1011,0.0,0.0,31.12,62.86,30.0,13.9,0,0,
"=A113+IF(H114=H113,I114-I113,I114)/86400000","=IF(H114=H113,I114-I113,I114)",,,current,112,True,3906736965,33862969,True,True,True,True,True,1011,0.0,0.0,30.96,62.9,30.0,13.8,0,0,
"=A114+IF(H115=H114,I115-I114,I115)/86400000","=IF(H115=H114,I115-I114,I115)",,,current,113,True,3906736965,34163938,True,True,True,True,True,1011,0.0,0.0,30.92,62.95,30.0,13.9,0,0,
"=A115+IF(H116=H115,I116-I115,I116)/86400000","=IF(H116=H115,I116-I115,I116)",,,current,114,True,3906736965,34464907,True,True,True,True,True,1011,0.0,0.0,30.91,62.94,29.9,13.6,0,0,
"=A116+IF(H117=H116,I117-I116,I117)/86400000","=IF(H117=H116,I117-I116,I117)",,,current,115,True,3906736965,34765879,True,True,True,True,True,1011,0.0,0.0,30.88,62.99,29.9,13.8,0,0,
"=A117+IF(H118=H117,I118-I117,I118)/86400000","=IF(H118=H117,I118-I117,I118)",,,current,116,True,3906736965,35066854,True,True,True,True,True,1011,0.0,0.0,30.87,63.04,29.9,13.8,0,0,
"=A118+IF(H119=H118,I119-I118,I119)/86400000","=IF(H119=H118,I119-I118,I119)",,,current,117,True,3906736965,35367829,True,True,True,True,True,1011,0.0,0.0,30.79,63.04,29.9,13.8,0,0,
"=A119+IF(H120=H119,I120-I119,I120)/86400000","=IF(H120=H119,I120-I119,I120)",,,current,118,True,3906736965,35668839,True,True,True,True,True,1011,0.0,0.0,30.99,63.17,29.9,13.8,0,0,
"=A120+IF(H121=H120,I121-I120,I121)/86400000","=IF(H121=H120,I121-I120,I121)",,,current,119,True,3906736965,35969791,True,True,True,True,True,1011,0.0,0.0,31.01,63.27,29.9,13.9,0,0,
"=A121+IF(H122=H121,I122-I121,I122)/86400000","=IF(H122=H121,I122-I121,I122)",,,current,120,True,3906736965,36270743,True,True,True,True,True,1011,0.0,0.0,30.93,63.28,29.9,13.8,0,0,
"=A122+IF(H123=H122,I123-I122,I123)/86400000","=IF(H123=H122,I123-I122,I123)",,,current,121,True,3906736965,36571701,True,True,True,True,True,1011,0.0,0.0,30.82,63.33,29.9,13.8,0,0,
